Sender, Receiver, #hops, Total Time
1, 92, 11, 39999.991701
1, 94, 15, 35000.038408
1, 180, 12, 59999.961615
1, 157, 11, 40000.003469
1, 99, 7, 34999.998005
1, 114, 9, 35000.015370
1, 55, 12, 30000.001928
1, 82, 12, 25999.976522
1, 85, 6, 29000.036994
1, 111, 15, 29999.979134
1, 39, 11, 24999.981462
1, 67, 11, 25000.026140
1, 153, 18, 35000.020820
1, 5, 4, 19999.962974
1, 58, 4, 20000.010288
1, 69, 12, 29999.988429
1, 6, 5, 25000.031283
1, 58, 4, 19999.996616
1, 87, 6, 24999.965343
1, 189, 16, 50000.043571
1, 79, 11, 34999.975225
1, 77, 9, 34999.991851
1, 161, 14, 49999.990769
1, 63, 8, 30000.003001
1, 103, 9, 35000.009427
1, 114, 9, 34999.988550
1, 190, 17, 60000.000736
1, 98, 15, 35000.006276
1, 195, 13, 65000.035332
1, 143, 10, 34999.953769
1, 58, 4, 20000.042348
1, 131, 11, 39999.968044
1, 59, 4, 17000.014063
1, 131, 11, 38000.006620
1, 13, 12, 59999.989104
1, 125, 16, 29999.996846
1, 69, 12, 30000.019647
1, 142, 11, 39999.975769
1, 197, 14, 70000.008320
1, 187, 14, 44999.988556
1, 54, 12, 29999.998194
1, 68, 11, 25000.001922
1, 169, 12, 59999.996823
1, 172, 13, 45000.016576
1, 37, 8, 22000.007866
1, 67, 11, 22999.988797
1, 20, 6, 24999.985616
1, 21, 7, 30000.002652
1, 87, 6, 25000.002292
1, 67, 11, 25000.006526
1, 194, 13, 64999.989140
1, 52, 10, 25000.018679
1, 200, 15, 50000.015394
1, 189, 16, 49999.979989
1, 66, 11, 25000.020943
1, 200, 15, 49999.972397
1, 172, 13, 45000.027170
1, 28, 14, 45000.005459
1, 48, 6, 19999.963303
1, 62, 7, 25000.023789
1, 162, 16, 59999.985210
1, 144, 11, 35999.988708
1, 198, 14, 54000.015053
1, 167, 18, 35000.003307
1, 170, 12, 44999.974630
1, 50, 8, 25000.004718
1, 134, 15, 60000.023982
1, 125, 16, 29999.981494
1, 11, 10, 50000.025290
1, 58, 4, 19999.995208
1, 135, 9, 44999.977307
1, 60, 4, 20000.005289
1, 19, 5, 25000.004476
1, 68, 11, 24999.989340
1, 129, 9, 31999.994063
1, 61, 4, 18000.005373
1, 28, 14, 45000.020635
1, 25, 10, 29999.987364
1, 142, 11, 40000.006863
1, 174, 14, 45000.004260
1, 7, 6, 30000.001146
1, 193, 19, 70000.003895
1, 88, 7, 29999.979975
1, 109, 15, 30000.020094
1, 192, 19, 69999.973629
1, 14, 13, 65000.015684
1, 105, 7, 35000.004803
1, 123, 16, 29999.973784
1, 46, 3, 15000.047091
1, 59, 4, 16999.991610
1, 27, 12, 32999.988053
1, 61, 4, 20000.019407
1, 69, 12, 29999.956877
1, 4, 3, 15000.008527
1, 20, 6, 24999.998928
1, 198, 14, 55000.029030
1, 170, 12, 44999.989126
1, 55, 12, 29999.979478
1, 117, 11, 44999.996221
1, 105, 7, 35000.014503
1, 194, 13, 65000.013062
1, 112, 16, 35000.012768
1, 127, 9, 44999.993696
1, 25, 10, 29999.985445
1, 96, 13, 27000.008272
1, 35, 6, 17999.985140
1, 19, 5, 25000.017341
1, 43, 3, 15000.007217
1, 113, 8, 39999.973713
1, 138, 16, 29999.988493
1, 117, 11, 45000.034295
1, 27, 12, 34999.964682
1, 85, 6, 30000.024766
1, 15, 1, 4999.987563
1, 52, 10, 24999.990878
1, 36, 7, 21000.035262
1, 60, 4, 18999.961635
1, 43, 3, 15000.009757
1, 80, 12, 30000.018660
1, 116, 9, 34999.985097
1, 58, 4, 19999.993718
1, 4, 3, 15000.039090
1, 144, 11, 35999.974766
1, 179, 12, 58999.982424
1, 113, 8, 40000.038280
1, 85, 6, 29999.966278
1, 128, 10, 35000.019740
1, 116, 9, 34999.990511
1, 65, 10, 29999.987192
1, 23, 9, 30000.034673
1, 188, 15, 49999.990947
1, 75, 5, 25000.005335
1, 79, 11, 34999.974577
1, 157, 11, 39999.998472
1, 115, 8, 30000.027224
1, 63, 8, 29999.974651
1, 87, 6, 25000.006290
1, 150, 10, 50000.014544
1, 146, 13, 45000.003709
1, 185, 13, 49999.987108
1, 103, 9, 34999.982817
1, 180, 12, 60000.040368
1, 75, 5, 24999.965710
1, 26, 12, 35000.022699
1, 146, 13, 44999.988824
1, 17, 2, 9999.988825
1, 139, 17, 34999.993163
1, 132, 13, 49999.996385
1, 118, 11, 44999.998240
1, 145, 13, 45000.036253
1, 197, 14, 70000.004818
1, 198, 14, 54999.956326
1, 67, 11, 25000.021267
1, 106, 8, 40000.017771
1, 86, 7, 29999.997605
1, 19, 5, 25000.007297
1, 191, 18, 64999.978934
1, 40, 11, 24999.983299
1, 142, 11, 40000.033030
1, 68, 11, 24999.967188
1, 99, 7, 35000.008550
1, 29, 2, 10000.030304
1, 103, 9, 35000.000348
1, 10, 9, 44999.967596
1, 68, 11, 24999.993241
1, 149, 17, 65000.041659
1, 54, 12, 29999.981343
1, 120, 8, 39999.989553
1, 30, 2, 9999.982702
1, 72, 6, 25000.005215
1, 155, 11, 55000.034296
1, 124, 15, 29000.005132
1, 12, 11, 50999.968708
1, 105, 7, 34999.988484
1, 46, 3, 15000.022109
1, 38, 9, 23000.013007
1, 76, 5, 21999.995659
1, 156, 11, 39999.989363
1, 104, 11, 45000.003646
1, 115, 8, 29999.996132
1, 188, 15, 49999.998009
1, 27, 12, 35000.004651
1, 47, 5, 19999.983173
1, 189, 16, 50000.014122
1, 81, 13, 29999.998510
1, 55, 12, 29999.990093
1, 146, 13, 45000.007934
1, 86, 7, 30000.016645
1, 32, 4, 19999.985496
